Temperature,Humidity,Rainfall,Soil_Type,Crop_Type,Area,Yield
24.36350297118406,61.144907108173086,218.1757485522245,Loamy,Sugarcane,30.365665063313045,82.69290141245114
38.767857660247905,58.75091265778386,249.17034929784307,Loamy,Maize,26.171684905549935,4.10104098581159
33.29984854528513,31.538523948386143,112.61697469812475,Sandy,Cotton,15.121041772016945,0.5
29.966462104925917,50.474869657569386,206.21852490174973,Red,Rice,1.316753531695817,1.8727398403437463
18.900466011060914,52.811737127151424,192.93649578593718,Red,Rice,25.315721873139882,2.982738715027194
18.899863008405067,53.92936685381403,258.2075941970678,Sandy,Wheat,14.995673439549911,0.5
16.452090304204987,64.81034215363994,276.52176512031514,Black,Sugarcane,36.99580673481622,89.45729975316674
36.654403644373375,62.016152803612705,53.0391928693467,Loamy,Wheat,2.173366998253691,1.5098062064586222
30.02787529358022,66.47430556760668,218.50497976469816,Loamy,Cotton,29.656562753983753,1.110271731063667
32.70181444490114,75.8929956925277,62.958949779932254,Sandy,Maize,47.1322376377972,2.752580835672195
15.51461235739506,78.7791443229656,187.21466626933898,Sandy,Maize,9.546054088463476,3.0016271464631763
39.247746304049855,73.08738457358967,121.90818226091955,Black,Sugarcane,24.110825046779173,89.74095621375906
35.81106602001054,87.33142175729608,126.6941498805353,Red,Wheat,5.47967759903977,1.8642800384765792
20.308477766956905,31.093954960581698,138.23962586308915,Clay,Wheat,31.65841370080628,1.2196112398809589
19.545624180177516,41.74667914101276,205.32311226240253,Red,Cotton,27.976052349215053,0.7111908549558128
19.585112746335845,30.453772498688526,133.5124914171923,Loamy,Maize,20.960910686428786,4.578370936033245
22.60605607398844,68.84848284927618,233.1747626475701,Sandy,Wheat,26.547474052213317,1.730601254578191
28.11891079080595,83.88183293699922,151.1318463934674,Black,Sugarcane,44.932158264981496,90.69863287260311
25.798625466052894,44.608937794577955,67.08830007748966,Red,Maize,10.618420813242285,3.6848045927958135
22.28072850495105,85.6220726877784,245.9399606210268,Black,Cotton,2.1056610735620147,1.8148862816352835
30.296322368059485,33.61604341737365,121.4395811481765,Red,Sugarcane,43.22157935025595,62.48507432764375
18.487346516301045,86.06616160833086,158.19171989981567,Loamy,Rice,29.278737037007417,3.7924162277635727
22.303616213380455,51.09736123437806,221.36097080547538,Clay,Cotton,44.64226431763028,0.9728844005580816
24.159046082342293,36.08524970695299,133.114039287178,Black,Sugarcane,30.250315947245458,90.61126688148381
26.4017496054259,59.15230555117954,64.1464140366789,Black,Wheat,40.69789340802542,3.022510108493
34.62939903482534,45.40659406323048,143.4802617532034,Clay,Rice,22.05399480440225,3.5140512080102355
19.991844553958995,47.092374117715366,286.11214567357587,Black,Cotton,37.74313663312517,0.5
27.85586096034029,48.43739789557719,210.43359932463954,Black,Wheat,45.73903187760294,3.862020676044792
29.810364221551062,78.1815538699598,217.86978716680173,Red,Rice,29.03402522238811,2.347667131633394
16.161260317999943,62.34967660051527,208.07053840940995,Red,Maize,9.858472377556597,2.6191314343493124
30.18862129753596,48.67846194936022,99.74803473985921,Clay,Wheat,14.17108313647971,1.5547218457172378
19.263103092182288,66.6200269986551,154.58346602557003,Loamy,Sugarcane,10.733584267972883,82.4702564287957
16.62628982463199,72.96904045339161,237.73494959082956,Black,Cotton,13.095994352190912,0.5
38.722138431333335,46.35744004401202,75.34322438828978,Loamy,Rice,16.014357018200784,3.0233499088765785
39.14080082686398,54.81294609152109,119.46319402242807,Clay,Wheat,28.201555550906235,2.6412081269587047
35.20993370291153,37.313165600216855,119.0797771164634,Clay,Maize,29.811589843727806,3.931901690733295
22.61534422933427,40.86896097208082,158.00473189862652,Red,Cotton,21.898487614851195,1.3345294179043525
17.441802850159597,70.86707123789897,295.09218523554625,Black,Cotton,31.155618211220936,0.5
32.10582566280392,40.88630086173762,66.87563667095549,Sandy,Wheat,4.99717135495693,0.5
26.003812343490033,61.50980302002361,179.67524859514876,Clay,Maize,5.301623615849838,4.249396989787441
18.05095587111947,72.54277570334597,94.84117050305261,Black,Rice,9.419643557525264,3.697039678426528
27.379422752781757,36.41261538568463,292.669136352436,Loamy,Wheat,26.38579740397689,1.4068213684259419
15.85971302788046,64.03873317773422,78.32587618186605,Red,Rice,11.485739256217364,2.2074642187997586
37.73301005196955,45.393767022081825,150.90025059039783,Loamy,Cotton,14.88093577113629,1.2926831451257565
21.469499540000424,87.77561251425479,234.47124620865154,Clay,Rice,20.61532897247671,2.0875881494941693
31.56305710884955,59.01273880319548,226.13860700686132,Clay,Maize,40.78144007650861,3.9582424334589326
22.792776902235275,78.35955298650948,155.68215922348307,Loamy,Sugarcane,1.6792446597301458,83.30841880146336
28.00170052944527,63.01359252937571,136.63104198817956,Clay,Maize,32.8195621915945,3.858169919710904
28.66775698358199,32.60475197128915,149.40309463821762,Black,Rice,33.77495002099358,4.479929047757827
19.621361388138176,67.98908253564134,116.06906578965982,Clay,Wheat,40.13413323747519,2.173595077699892
39.239615694113965,87.08420053239942,101.33323467669996,Red,Cotton,46.70489401395535,0.5
34.37832058402786,66.09670920877987,170.7599243897225,Black,Sugarcane,1.9867545985152015,89.90589981937751
38.48747353910473,79.15133156560742,117.13343901690183,Sandy,Wheat,8.535401570147593,1.312470362407313
37.37068376069122,83.05238780090447,121.86541622431253,Clay,Wheat,44.42239340874366,1.0708472488601224
29.94749947027713,43.68478631693595,214.18901586863927,Clay,Maize,23.467409547163754,3.163341059274223
38.04685587557792,42.7226903944936,292.134332924973,Red,Rice,28.664941307739713,1.0183258738653767
17.212312551297988,66.6588593310595,200.90930013984377,Red,Maize,33.48833298243422,3.7798115744512546
19.89957156047863,54.66170818840229,69.24486676624157,Loamy,Rice,34.274263620286234,4.53582520481574
